key,en,fr,sw
todayRemainingLabel,Today · {n} remaining,Aujourd'hui · encore {n},Leo · bado {n}
todayCompleteTitle,Today's prayer is complete.,La prière d'aujourd'hui est terminée.,Maombi ya leo yamekamilika.
prayAgain,Pray again,Prier à nouveau,Omba tena
prayedTodayLabel,Prayed today,Priées aujourd’hui,Yaliyoombwa leo
rhythmPlanHint,"Stays in your Journal, with no set day.","Reste dans ton Journal, sans jour fixe.","Inabaki kwenye Jarida lako, bila siku maalum."
answeredThisWeek,{n} answered this week,{n} exaucées cette semaine,{n} zimejibiwa wiki hii
prayWithOthers,Pray with others,Priez avec d'autres,Omba na wengine
communityEmptyDesc,Join a prayer group using an invitation link or code.,Rejoignez un groupe de prière avec un lien ou un code d'invitation.,Jiunge na kikundi cha maombi kwa kiungo au msimbo wa mwaliko.
inbox,Inbox,Boîte de réception,Kikasha
prayerReminders,Prayer reminders,Rappels de prière,Vikumbusho vya maombi
onboardCaptureTitle,What would you like to pray about?,Pour quoi aimeriez-vous prier ?,Ungependa kuomba kwa ajili ya nini?
onboardCapturePlaceholder,Pray for my sister's health…,Prier pour la santé de ma sœur…,Kuombea afya ya dada yangu…
onboardPrivateNote,Private and encrypted by default.,Privé et chiffré par défaut.,Faragha na imesimbwa kwa chaguo-msingi.
onboardSaveAndPray,Save and pray,Enregistrer et prier,Hifadhi na uombe
onboardLater,I'll do this later,Je le ferai plus tard,Nitafanya baadaye
firstPrayerQuestion,Who or what is on your heart?,Qui ou quoi avez-vous sur le cœur ?,Ni nani au nini kilicho moyoni mwako?
firstPrayerDeviceNote,This stays on this device until you choose to save it.,Cela reste sur cet appareil jusqu'à ce que vous choisissiez de l'enregistrer.,Hii inabaki kwenye kifaa hiki hadi utakapochagua kuihifadhi.
firstPrayerPrayCta,Pray now,Prier maintenant,Omba sasa
firstPrayerSaveTitle,Would you like to keep this prayer in your private journal?,Souhaitez-vous garder cette prière dans votre journal privé ?,Ungependa kuweka ombi hili katika shajara yako ya faragha?
firstPrayerSaveBtn,Save in my private journal,Enregistrer dans mon journal privé,Hifadhi katika shajara yangu ya faragha
