key,en,fr,tl
todayRemainingLabel,Today · {n} remaining,Aujourd'hui · encore {n},Ngayon · {n} na natitira
todayCompleteTitle,Today's prayer is complete.,La prière d'aujourd'hui est terminée.,Tapos na ang panalangin ngayon.
prayAgain,Pray again,Prier à nouveau,Manalangin muli
prayedTodayLabel,Prayed today,Priées aujourd’hui,Naipanalangin na ngayon
rhythmPlanHint,"Stays in your Journal, with no set day.","Reste dans ton Journal, sans jour fixe.","Nananatili sa iyong Journal, nang walang takdang araw."
answeredThisWeek,{n} answered this week,{n} exaucées cette semaine,{n} ang nasagot ngayong linggo
prayWithOthers,Pray with others,Priez avec d'autres,Manalangin kasama ang iba
communityEmptyDesc,Join a prayer group using an invitation link or code.,Rejoignez un groupe de prière avec un lien ou un code d'invitation.,Sumali sa isang prayer group gamit ang invitation link o code.
inbox,Inbox,Boîte de réception,Inbox
prayerReminders,Prayer reminders,Rappels de prière,Mga paalala sa panalangin
onboardCaptureTitle,What would you like to pray about?,Pour quoi aimeriez-vous prier ?,Ano ang nais mong ipanalangin?
onboardCapturePlaceholder,Pray for my sister's health…,Prier pour la santé de ma sœur…,Ipanalangin ang kalusugan ng aking kapatid…
onboardPrivateNote,Private and encrypted by default.,Privé et chiffré par défaut.,Pribado at naka-encrypt bilang default.
onboardSaveAndPray,Save and pray,Enregistrer et prier,I-save at manalangin
onboardLater,I'll do this later,Je le ferai plus tard,Gagawin ko mamaya
firstPrayerQuestion,Who or what is on your heart?,Qui ou quoi avez-vous sur le cœur ?,Sino o ano ang nasa puso mo?
firstPrayerDeviceNote,This stays on this device until you choose to save it.,Cela reste sur cet appareil jusqu'à ce que vous choisissiez de l'enregistrer.,Nananatili ito sa device na ito hanggang piliin mong i-save.
firstPrayerPrayCta,Pray now,Prier maintenant,Manalangin ngayon
firstPrayerSaveTitle,Would you like to keep this prayer in your private journal?,Souhaitez-vous garder cette prière dans votre journal privé ?,Gusto mo bang itago ang panalanging ito sa iyong pribadong talaarawan?
firstPrayerSaveBtn,Save in my private journal,Enregistrer dans mon journal privé,I-save sa aking pribadong talaarawan
firstPrayerFinishBtn,Finish without saving,Terminer sans enregistrer,Tapusin nang hindi nagse-save
authSavePrayerTitle,Save your prayer privately,Enregistrez votre prière en privé,I-save ang iyong panalangin nang pribado
authSavePrayerBody,Create a free account to keep this prayer in your journal — only you can ever read it.,Créez un compte gratuit pour garder cette prière dans votre journal — vous seul pourrez la lire.,Gumawa ng libreng account para itago ang panalanging ito sa iyong talaarawan — ikaw lang ang makakabasa nito.
authSavePrayerCta,Continue to save privately,Continuer pour enregistrer en privé,Magpatuloy para i-save nang pribado
prayerFormat,Prayer format,Format de prière,Anyo ng panalangin
prayerMusic,Prayer atmosphere,Ambiance de prière,Himig ng panalangin
prayerMusicSub,Choose a gentle background for prayer. Silence is always welcome.,Choisissez un fond doux pour la prière. Le silence est toujours le bienvenu.,Pumili ng banayad na saliw para sa panalangin. Malugod na tinatanggap ang katahimikan.
audioSilence,Silence,Silence,Katahimikan
audioSoftPiano,Soft piano,Piano doux,Banayad na piano
audioAmbientPad,Ambient worship pad,Nappe de louange,Pad ng pagsamba
audioNature,Rain / nature,Pluie / nature,Ulan / kalikasan
audioSoftPad,Soft pad,Nappe douce,Banayad na pad
prayerFieldLabel,Who or what would you like to pray for?,Pour qui ou pour quoi voulez-vous prier ?,Para kanino o para saan mo nais manalangin?
addNote,Add a note,Ajouter une note,Magdagdag ng tala
organizeLabel,Organize,Organiser,Ayusin
savePrayer,Save prayer,Enregistrer la prière,I-save ang panalangin
rhythmLabel,How often should this return?,À quelle fréquence revenir ?,Gaano kadalas itong babalik?
rhythmFlexible,Weekly plan,Plan hebdomadaire,Lingguhang plano
rhythmOccasionally,Occasionally,De temps en temps,Paminsan-minsan
rhythmCustom,Custom,Personnalisé,Custom
doneBtn,Done,Terminé,Tapos na
moreTab,More,Plus,Iba pa
primaryNav,Primary navigation,Navigation principale,Pangunahing nabigasyon
navPending,{count} pending,{count} en attente,{count} nakabinbin
joinGroupCta,Join a group,Rejoindre un groupe,Sumali sa grupo
joinGroupHint,Paste an invite link or code shared by a group member.,Collez un lien ou un code d'invitation partagé par un membre du groupe.,I-paste ang invite link o code na ibinahagi ng miyembro ng grupo.
joinGroupPlaceholder,Invite link or code,Lien ou code d'invitation,Invite link o code
reminderNudge,Would a gentle reminder tomorrow help?,Un doux rappel demain vous aiderait-il ?,Makakatulong ba ang banayad na paalala bukas?
activationRhythmTitle,Choose how this prayer returns,Choisissez quand retrouver cette prière,Piliin kung kailan babalik ang panalanging ito
activationRhythmBody,Every prayer can have its own rhythm. Review when this one should return so it fits your life.,Chaque prière peut avoir son propre rythme. Choisissez quand retrouver celle-ci pour l'adapter à votre quotidien.,Maaaring magkaroon ng sariling ritmo ang bawat panalangin. Suriin kung kailan ito babalik upang umangkop sa iyong buhay.
activationRhythmCta,Review rhythm,Voir le rythme,Suriin ang ritmo
activationReminderTitle,Would a gentle reminder help?,Un doux rappel vous aiderait-il ?,Makakatulong ba ang banayad na paalala?
activationReminderBody,Choose a time and Praystead can bring today's prayers back to you.,Choisissez une heure et Praystead pourra vous ramener aux prières du jour.,Pumili ng oras at maibabalik ng Praystead ang mga panalangin ngayong araw.
activationOrganizeTitle,Make a growing journal easier to revisit,Retrouvez plus facilement un journal qui grandit,Gawing mas madaling balikan ang lumalaking journal
activationOrganizeBody,Add a person or category to one prayer. More organization appears only when it becomes useful.,Ajoutez une personne ou une catégorie à une prière. L'organisation n'apparaît que lorsqu'elle devient utile.,Magdagdag ng tao o kategorya sa isang panalangin. Lalabas lamang ang dagdag na pag-aayos kapag kapaki-pakinabang.
activationOrganizeCta,Organize a prayer,Organiser une prière,Ayusin ang panalangin
pwaInstallTitle,Keep Praystead close,Gardez Praystead à portée de main,Panatilihing malapit ang Praystead
