key,en,fr,am
todayRemainingLabel,Today · {n} remaining,Aujourd'hui · encore {n},ዛሬ · የቀሩ {n}
todayCompleteTitle,Today's prayer is complete.,La prière d'aujourd'hui est terminée.,የዛሬ ጸሎት ተጠናቅቋል።
prayAgain,Pray again,Prier à nouveau,እንደገና ይጸልዩ
prayedTodayLabel,Prayed today,Priées aujourd’hui,ዛሬ የተጸለዩ
rhythmPlanHint,"Stays in your Journal, with no set day.","Reste dans ton Journal, sans jour fixe.",በማስታወሻህ ውስጥ ይቆያል፣ በተወሰነ ቀን የለም።
answeredThisWeek,{n} answered this week,{n} exaucées cette semaine,በዚህ ሳምንት {n} ተመልሰዋል
prayWithOthers,Pray with others,Priez avec d'autres,ከሌሎች ጋር ይጸልዩ
communityEmptyDesc,Join a prayer group using an invitation link or code.,Rejoignez un groupe de prière avec un lien ou un code d'invitation.,በግብዣ አገናኝ ወይም ኮድ የጸሎት ቡድን ይቀላቀሉ።
inbox,Inbox,Boîte de réception,የገቢ መልዕክት ሳጥን
prayerReminders,Prayer reminders,Rappels de prière,የጸሎት ማስታወሻዎች
onboardCaptureTitle,What would you like to pray about?,Pour quoi aimeriez-vous prier ?,ስለ ምን መጸለይ ይፈልጋሉ?
onboardCapturePlaceholder,Pray for my sister's health…,Prier pour la santé de ma sœur…,ለእህቴ ጤና መጸለይ…
onboardPrivateNote,Private and encrypted by default.,Privé et chiffré par défaut.,በነባሪ የግል እና የተመሰጠረ ነው።
onboardSaveAndPray,Save and pray,Enregistrer et prier,አስቀምጥ እና ጸልይ
onboardLater,I'll do this later,Je le ferai plus tard,በኋላ አደርገዋለሁ
firstPrayerQuestion,Who or what is on your heart?,Qui ou quoi avez-vous sur le cœur ?,በልብዎ ያለው ማን ወይም ምንድን ነው?
firstPrayerDeviceNote,This stays on this device until you choose to save it.,Cela reste sur cet appareil jusqu'à ce que vous choisissiez de l'enregistrer.,እስኪያስቀምጡት ድረስ ይህ በዚህ መሣሪያ ላይ ብቻ ይቆያል።
firstPrayerPrayCta,Pray now,Prier maintenant,አሁን ይጸልዩ
firstPrayerSaveTitle,Would you like to keep this prayer in your private journal?,Souhaitez-vous garder cette prière dans votre journal privé ?,ይህን ጸሎት በግል ማስታወሻዎ ውስጥ ማስቀመጥ ይፈልጋሉ?
firstPrayerSaveBtn,Save in my private journal,Enregistrer dans mon journal privé,በግል ማስታወሻዬ ውስጥ አስቀምጥ
firstPrayerFinishBtn,Finish without saving,Terminer sans enregistrer,ሳያስቀምጡ ጨርስ
authSavePrayerTitle,Save your prayer privately,Enregistrez votre prière en privé,ጸሎትዎን በግል ያስቀምጡ
authSavePrayerBody,Create a free account to keep this prayer in your journal — only you can ever read it.,Créez un compte gratuit pour garder cette prière dans votre journal — vous seul pourrez la lire.,ይህን ጸሎት በማስታወሻዎ ውስጥ ለማስቀመጥ ነጻ መለያ ይፍጠሩ — እርስዎ ብቻ ሊያነቡት ይችላሉ።
authSavePrayerCta,Continue to save privately,Continuer pour enregistrer en privé,በግል ለማስቀመጥ ይቀጥሉ
prayerFormat,Prayer format,Format de prière,የጸሎት ቅርጸት
prayerMusic,Prayer atmosphere,Ambiance de prière,የጸሎት ከባቢ
prayerMusicSub,Choose a gentle background for prayer. Silence is always welcome.,Choisissez un fond doux pour la prière. Le silence est toujours le bienvenu.,ለጸሎት ለዘብተኛ ዳራ ይምረጡ። ጸጥታ ሁልጊዜ ተቀባይነት አለው።
audioSilence,Silence,Silence,ጸጥታ
audioSoftPiano,Soft piano,Piano doux,ለስላሳ ፒያኖ
audioAmbientPad,Ambient worship pad,Nappe de louange,የአምልኮ ድምፅ
audioNature,Rain / nature,Pluie / nature,ዝናብ / ተፈጥሮ
audioSoftPad,Soft pad,Nappe douce,ለስላሳ ድምፅ
prayerFieldLabel,Who or what would you like to pray for?,Pour qui ou pour quoi voulez-vous prier ?,ለማን ወይም ለምን መጸለይ ይፈልጋሉ?
addNote,Add a note,Ajouter une note,ማስታወሻ ጨምር
organizeLabel,Organize,Organiser,አደራጅ
savePrayer,Save prayer,Enregistrer la prière,ጸሎት አስቀምጥ
rhythmLabel,How often should this return?,À quelle fréquence revenir ?,በምን ያህል ጊዜ ይመለስ?
rhythmFlexible,Weekly plan,Plan hebdomadaire,ሳምንታዊ እቅድ
rhythmOccasionally,Occasionally,De temps en temps,አልፎ አልፎ
rhythmCustom,Custom,Personnalisé,ብጁ
doneBtn,Done,Terminé,ተጠናቋል
moreTab,More,Plus,ተጨማሪ
primaryNav,Primary navigation,Navigation principale,ዋና ዳሰሳ
navPending,{count} pending,{count} en attente,{count} በመጠባበቅ ላይ
joinGroupCta,Join a group,Rejoindre un groupe,ቡድን ተቀላቀል
joinGroupHint,Paste an invite link or code shared by a group member.,Collez un lien ou un code d'invitation partagé par un membre du groupe.,የቡድን አባል ያጋራውን የግብዣ አገናኝ ወይም ኮድ ይለጥፉ።
joinGroupPlaceholder,Invite link or code,Lien ou code d'invitation,የግብዣ አገናኝ ወይም ኮድ
reminderNudge,Would a gentle reminder tomorrow help?,Un doux rappel demain vous aiderait-il ?,ነገ ለስላሳ ማስታወሻ ይረዳል?
activationRhythmTitle,Choose how this prayer returns,Choisissez quand retrouver cette prière,ይህ ጸሎት መቼ እንደሚመለስ ይምረጡ
activationRhythmBody,Every prayer can have its own rhythm. Review when this one should return so it fits your life.,Chaque prière peut avoir son propre rythme. Choisissez quand retrouver celle-ci pour l'adapter à votre quotidien.,እያንዳንዱ ጸሎት የራሱ ልማድ ሊኖረው ይችላል። ይህ ጸሎት ከሕይወትዎ ጋር እንዲስማማ መቼ እንደሚመለስ ይመልከቱ።
activationRhythmCta,Review rhythm,Voir le rythme,ልማዱን ይመልከቱ
activationReminderTitle,Would a gentle reminder help?,Un doux rappel vous aiderait-il ?,ለስላሳ ማስታወሻ ይረዳል?
activationReminderBody,Choose a time and Praystead can bring today's prayers back to you.,Choisissez une heure et Praystead pourra vous ramener aux prières du jour.,ሰዓት ይምረጡ፣ Praystead የዛሬን ጸሎቶች እንደገና ያቀርብልዎታል።
activationOrganizeTitle,Make a growing journal easier to revisit,Retrouvez plus facilement un journal qui grandit,እያደገ ያለውን የጸሎት ማስታወሻ ለመመልከት ቀላል ያድርጉ
activationOrganizeBody,Add a person or category to one prayer. More organization appears only when it becomes useful.,Ajoutez une personne ou une catégorie à une prière. L'organisation n'apparaît que lorsqu'elle devient utile.,ለአንድ ጸሎት ሰው ወይም ምድብ ያክሉ። ተጨማሪ አደረጃጀት ጠቃሚ ሲሆን ብቻ ይታያል።
activationOrganizeCta,Organize a prayer,Organiser une prière,ጸሎትን ያደራጁ
pwaInstallTitle,Keep Praystead close,Gardez Praystead à portée de main,Praysteadን በቅርብ ያቆዩ
pwaInstallBody,Open today's prayers in one tap and keep the app available when your connection is unsteady.,Ouvrez les prières du jour en un geste et gardez l’application disponible même avec une connexion instable.,የዛሬን ጸሎቶች በአንድ ንክኪ ይክፈቱ፤ ግንኙነቱ ሲዳከምም መተግበሪያውን ይጠቀሙ።
pwaInstallCta,Install Praystead,Installer Praystead,Praysteadን ጫን
pwaInstallLater,Not now,Pas maintenant,አሁን አይደለም
pwaIosTitle,Add Praystead to your Home Screen,Ajouter Praystead à l’écran d’accueil,Praysteadን ወደ መነሻ ማያ ገጽ ያክሉ
pwaIosBody,"In your browser, tap Share, then choose Add to Home Screen.","Dans votre navigateur, touchez Partager, puis Ajouter à l’écran d’accueil.",በአሳሹ ውስጥ ማጋራትን ይንኩ፣ ከዚያ ወደ መነሻ ማያ ገጽ አክልን ይምረጡ።
pwaIosAddAction,Add to Home Screen,Ajouter à l’écran d’accueil,ወደ መነሻ ማያ ገጽ አክል
authLogIn,Log in,Se connecter,ግባ
authSignUp,Sign up,S'inscrire,ተመዝገብ
authCreateAccount,Create account,Créer un compte,መለያ ፍጠር
authContinueGoogle,Continue with Google,Continuer avec Google,በGoogle ቀጥል
authOr,or,ou,ወይም
authNamePlaceholder,Display name (optional),Nom d'affichage (facultatif),የሚታይ ስም (አማራጭ)
authEmail,Email,Email,ኢሜይል
authPassword,Password,Mot de passe,የይለፍ ቃል
authForgotPassword,Forgot password?,Mot de passe oublié ?,የይለፍ ቃል ረሱ?
authResend,Resend confirmation email,Renvoyer l'email de confirmation,የማረጋገጫ ኢሜይል እንደገና ላክ
authBackHome,Back to home,Retour à l'accueil,ወደ መነሻ ተመለስ
authBackToLogin,Back to log in,Retour à la connexion,ወደ መግቢያ ተመለስ
authResetTitle,Reset your password,Réinitialiser le mot de passe,የይለፍ ቃልዎን ዳግም ያስጀምሩ
